algo,serie,taille,r,temps
local,10,1000,266,192.535680
local,10,1000,332,250.742864
local,10,1000,394,419.035489
local,10,1000,459,571.862328
local,10,1000,530,553.452456
local,10,1000,593,608.330515
local,10,1000,668,902.578167
local,1000,100,1287,3.588747
local,1000,100,1323,1.023833
local,1000,100,1827,3.122157
local,1000,100,2641,1.828236
local,1000,100,2640,2.178099
local,1000,100,3646,1.874349
local,1000,100,3770,2.296020
local,1000,100,4068,2.798594
local,1000,100,5462,3.085944
local,1000,100,5736,3.372121
local,100,100,135,1.631088
local,100,100,135,1.014093
local,100,100,173,2.106834
local,100,100,240,1.822316
local,100,100,303,2.506266
local,100,100,366,2.846368
local,100,100,454,3.758339
local,100,100,498,4.996057
local,100,100,488,2.844037
local,100,100,585,5.155619
local,10,100,16,1.532997
local,10,100,17,1.517930
local,10,100,21,0.982224
local,10,100,26,1.258587
local,10,100,42,2.136034
local,10,100,80,3.233559
local,10,100,50,4.041536
local,10,100,54,1.715019
local,10,100,66,2.165095
local,10,100,68,3.746675
