taille,seuil,temps
100000,21,14.426757
100000,21,14.403189
100000,21,14.420138
100000,22,14.507324
100000,22,14.933405
100000,22,14.968290
100000,22,14.463057
100000,22,14.487336
100000,23,14.615964
100000,23,14.593250
100000,23,14.624097
100000,23,14.606773
100000,23,14.648305
100000,24,14.743769
100000,24,14.760044
100000,24,14.763035
100000,24,14.765009
100000,24,14.732974
100000,25,14.910246
100000,25,14.902507
100000,25,14.930527
100000,25,14.918720
100000,25,15.033394
100000,1,14.858194
100000,1,14.774957
100000,1,14.737176
100000,1,14.783802
100000,1,14.766595
100000,2,14.238684
100000,2,14.170845
100000,2,14.155763
100000,2,14.150268
100000,2,14.168033
100000,3,13.838948
100000,3,13.809576
100000,3,13.797095
100000,3,13.912076
100000,3,13.816053
100000,4,13.527515
100000,4,13.556473
100000,4,13.608752
100000,4,13.546013
100000,4,13.610695
100000,5,13.367187
100000,5,13.334530
100000,5,13.371807
100000,5,13.354101
100000,5,13.374282
100000,6,13.276271
100000,6,13.233117
100000,6,13.212741
100000,6,13.235011
100000,6,13.270458
100000,7,13.181819
100000,7,13.199964
100000,7,13.186382
100000,7,13.217104
100000,7,13.259894
100000,8,13.497965
100000,8,13.663337
100000,8,13.912142
100000,8,13.749312
100000,8,13.996874
100000,9,13.817980
100000,9,13.983462
100000,9,14.018991
100000,9,13.815435
100000,9,14.102673
100000,10,14.081053
100000,10,13.560781
100000,10,13.360605
100000,10,13.342407
100000,10,13.363500
100000,11,13.382583
100000,11,13.395714
100000,11,13.413870
100000,11,13.414456
100000,11,13.442552
100000,12,13.551281
100000,12,13.497398
100000,12,13.495948
100000,12,13.550224
100000,12,13.499632
100000,13,13.622382
100000,13,13.574157
100000,13,13.602510
100000,13,13.576060
100000,13,13.533068
100000,14,13.667425
100000,14,13.655153
100000,14,13.619683
100000,14,13.667774
100000,14,13.615220
100000,15,13.801360
100000,15,13.764049
100000,15,13.802999
100000,15,13.752806
100000,15,13.801825
100000,16,13.859286
100000,16,14.002753
100000,16,13.834981
100000,16,13.881011
100000,16,13.858912
100000,17,13.929915
100000,17,13.970810
100000,17,13.934031
100000,17,13.960684
100000,17,13.959089
100000,18,14.086252
100000,18,14.092730
100000,18,14.095821
100000,18,14.068709
100000,18,14.105412
100000,19,14.224981
100000,19,14.196572
100000,19,14.192458
100000,19,14.308818
100000,19,14.278348
100000,20,14.339940
100000,20,14.350475
100000,20,14.364873
100000,20,14.251429
100000,20,14.359051
100000,21,14.484261
100000,21,14.464524
100000,21,14.455603
100000,21,14.474143
100000,21,14.447327
100000,22,14.637569
100000,22,14.606095
100000,22,14.563734
100000,22,14.618011
100000,22,14.551453
100000,23,14.742443
100000,23,14.694043
100000,23,15.119725
100000,23,14.761386
100000,23,14.733235
100000,24,14.843364
100000,24,14.833343
100000,24,14.862410
100000,24,14.826811
100000,24,14.888297
100000,25,14.944863
100000,25,14.967826
100000,25,14.971999
100000,25,14.986687
100000,25,15.028177
100000,1,14.808222
100000,1,14.798190
100000,1,14.797901
100000,1,14.811619
100000,1,14.813338
100000,2,14.545746
100000,2,14.183944
100000,2,14.232147
100000,2,14.237263
100000,2,14.222007
100000,3,13.798632
100000,3,13.843288
100000,3,13.825670
100000,3,13.821201
100000,3,13.883606
100000,4,13.571447
100000,4,13.555721
100000,4,13.568063
100000,4,13.547438
100000,4,13.600295
100000,5,13.443554
100000,5,13.434532
100000,5,13.419500
100000,5,13.386787
100000,5,13.922784
100000,6,13.384180
100000,6,13.295132
100000,6,13.210563
100000,6,13.285939
100000,6,13.277682
100000,7,13.200175
100000,7,13.216196
100000,7,13.237715
100000,7,13.282215
100000,7,13.290327
100000,8,13.283576
100000,8,13.276777
100000,8,13.273587
100000,8,13.242618
100000,8,13.310584
100000,9,13.346445
100000,9,13.320900
100000,9,13.292763
100000,9,13.336619
100000,9,13.378366
100000,10,13.416258
100000,10,13.364006
100000,10,13.405988
100000,10,13.425720
100000,10,13.440892
100000,11,13.426309
100000,11,13.434102
100000,11,13.609293
100000,11,13.450814
100000,11,13.440934
100000,12,13.585695
100000,12,13.547277
100000,12,13.500478
100000,12,13.569993
100000,12,13.608887
100000,13,13.684124
100000,13,13.584952
100000,13,13.580364
100000,13,13.669544
100000,13,13.625015
100000,14,13.676465
100000,14,13.660318
100000,14,13.688033
100000,14,13.730306
100000,14,13.755162
100000,15,13.862847
100000,15,13.734793
100000,15,13.883855
100000,15,13.844628
100000,15,13.761895
100000,16,13.857847
100000,16,13.911321
100000,16,13.886354
100000,16,13.885704
100000,16,13.901000
100000,17,14.018866
100000,17,13.996078
100000,17,14.007635
100000,17,13.998059
100000,17,14.046188
100000,18,14.195907
100000,18,14.181046
100000,18,14.162621
100000,18,14.113103
100000,18,14.138315
100000,19,14.248420
100000,19,14.245106
100000,19,14.229907
100000,19,14.233286
100000,19,14.224827
100000,20,14.327792
100000,20,14.342946
100000,20,14.345116
100000,20,14.436573
100000,20,14.347905
100000,21,14.746393
100000,21,14.481222
100000,21,14.491139
